,Name,DMSO 1-3 Basal_1,DMSO 1-3 Basal_2,DMSO 1-3 Basal_3,DMSO 3-5 Basal_1,DMSO 3-5 Basal_2,DMSO 3-5 Basal_3,DMSO 5-7 Basal_1,DMSO 5-7 Basal_2,DMSO 5-7 Basal_3
48,dU,36.59012918,38.8788536,39.12413583,47.91628501,50.13982784,48.93464695,45.452751,45.07866165,44.94920266
49,F16BP,33.35791382,,,0,0,0,,0.061395898,0.061395898
50,Folate,0,0,0,0,0,0,0,0,0
51,Fru,0.029711832,0.02069182,0.033972232,0.008378958,0.033665871,0.028599837,5.876965671,7.139004364,7.408066488
52,Fum,6.908654119,6.458435336,5.039656874,14.32885064,16.52812918,15.44865506,23.11922556,22.34032627,21.64854877
53,G,0,0,0,0,0,0,0,0,0
54,G3P,0,0,0,100,100,100,100,52.95454607,61.25447045
55,G6P-F6P,62.71545692,64.33033252,64.72635593,55.05759468,53.52294715,52.65305566,65.71555481,66.98325713,69.3598011
56,GABA,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734
57,GDP,50.02457042,50.02457042,50.02457042,53.98666318,54.6695478,53.28405836,43.3621843,45.02824623,37.16692019
58,Glc,80.96831749,80.9610625,81.04605958,78.92166395,79.93360926,79.93455407,83.51577464,83.74627929,84.06642866
59,GlcA,52.89535687,53.16027261,52.87042229,44.41522007,46.93523667,46.17473674,63.74292569,63.19257129,64.86145269
60,GlcN,81.53598295,81.07184172,81.19220063,79.66911289,80.84149169,80.58377371,83.27202033,85.32553699,84.08881718
61,GlcN-6P,100,100,,0,0,0,96.59510171,100,100
62,GlcNAc,57.25496968,57.36342933,56.86547736,59.02428763,56.08855212,55.53076029,55.67589677,56.79302853,54.19562411
63,GlcNAc-6P,,50.01843537,0.085848889,0.085848889,,50.01843537,50.01843537,,
64,Gln,0.004849775,0.001433423,0.008492319,0.265838695,0.164272926,0.275065713,10.28015017,9.805420274,9.348798502
65,Glu,11.28055305,11.07936191,11.17644253,19.49839141,19.38680646,20.48045007,36.08730233,35.78767941,35.46430643
66,GlucA,66.08532723,75.21853586,62.81031798,62.96284319,58.28444733,58.79866744,71.29042067,73.00803209,72.89506259
67,Gly,5.380737314,5.616545865,4.891989171,12.64212093,12.22207624,14.89434996,17.41326843,15.22044171,15.08517345
