,Name,DMSO 1-3 Basal_1,DMSO 1-3 Basal_2,DMSO 1-3 Basal_3,DMSO 3-5 Basal_1,DMSO 3-5 Basal_2,DMSO 3-5 Basal_3,DMSO 5-7 Basal_1,DMSO 5-7 Basal_2,DMSO 5-7 Basal_3
57,G3P,0,0,0,915.8691756,314.3404635,1019.771186,1053.155826,885.8308931,762.9951511
58,G6P-F6P,83776.84298,68321.98748,63799.79365,37267.87634,28472.70053,39638.88983,37401.16512,36867.25476,47892.2044
59,GABA,26865.19008,40023.92801,32666.46032,27153.66487,30975.2852,43792.34746,38961.21158,47925.56735,43420.19769
60,GDP,1568.694215,476.4319249,2400.539683,1538.082437,846.2299465,1253.805085,5552.616154,6238.572474,8851.857516
61,Glc,83504618.25,79953823.97,96297749.29,45033001.29,48227839.15,46524573.7,6169469.646,7326812.035,6198192.536
62,GlcA,3446797.603,3437427.371,3775059.032,3345970.717,3321119.724,3199049.034,3405739.414,3519291.717,3564192.167
63,GlcN,33074840.79,29929680.41,36346028.95,18152039.66,19620534.52,18940830.94,3104970.604,3924323.971,3131786.278
64,GlcN-6P,3005.520661,2269.640063,,0,0,0,1831.915654,2144.849927,3306.982469
65,GlcNAc,178885.9339,184032.5039,213672.3333,117339.3548,121115.7932,117748.1525,28830.12866,38337.51098,32073.17419
66,GlcNAc-6P,,743.943662,6381.603175,2256.899642,,300.9915254,317.8663331,,
67,Gln,75684427.92,68800404.26,83619903.52,37420863.95,39204059.71,35963104.31,8777837.462,10684673.14,8800192.51
68,Glu,3763572.083,3544607.23,3927560.111,4050294.203,4159311.702,4070322.068,1675745.743,2001195.044,1577628.448
69,GlucA,32698.01653,21929.02973,33199.57143,28487.89427,35479.13547,27475.38136,58704.28163,65718.96413,56579.83215
70,Gly,1685243.967,1519702.77,1798763.492,1026297.545,1030030.321,1135231.11,416495.0822,456427.7233,461912.0216
71,Glycerol,185091.157,151000.2191,204127.8413,75676.29928,87928.46702,74430.34746,23080.26447,34599.14348,25020.00373
72,Glycerol-3-P,35904.72727,30547.30829,32850.04762,31280.53763,31577.96791,34854,19100.32166,18908.27965,19646.12458
